Pickup Area,Dropoff Area,Pickup Governorate,Dropoff Governorate,Pickup Time,Day of Week,Hour of Day,Trip Duration (min),Trip Distance (km),Fare per km (EGP),Fare (EGP),Service Type,Payment Method,Driver Rating
Maadi,New Cairo,Cairo,Cairo,2024-06-14 12:23:00,Friday,12,5.03,3.51,4.566875831148866,16.03,Uber Comfort,Credit Card,4.2
Zamalek,Sheikh Zayed,Cairo,Giza,2024-06-24 04:47:00,Monday,4,6.2,2.26,5.1829088862219805,11.71,Uber Comfort,Credit Card,4.7
Rehab,Maadi,Cairo,Cairo,2024-06-29 04:38:00,Saturday,4,9.38,4.68,4.532582887763855,21.21,Uber Bus,Cash,4.2
Dokki,Shorouk,Giza,Cairo,2024-06-10 14:45:00,Monday,14,71.85,24.25,4.929730252456617,119.55,Uber Comfort,Wallet,4.9
Maadi,Dokki,Cairo,Giza,2024-06-11 11:56:00,Tuesday,11,16.89,8.63,5.095992513042483,43.98,Uber Scooter,Wallet,3.7
Shorouk,Dokki,Cairo,Giza,2024-06-13 08:41:00,Thursday,8,13.08,8.21,5.48057898604975,45.0,Uber Scooter,Credit Card,3.7
Shubra,Rehab,Cairo,Cairo,2024-06-29 20:27:00,Saturday,20,33.42,18.29,5.091786921774215,93.13,Uber Bus,Wallet,3.8
10th of Ramadan,Heliopolis,Sharqia,Cairo,2024-06-01 20:13:00,Saturday,20,32.56,18.08,3.213312379056247,58.1,UberX,Credit Card,4.5
6th October,Faisal,Giza,Giza,2024-06-21 18:41:00,Friday,18,59.52,28.86,5.353982230801828,154.52,Uber Bus,Credit Card,3.7
10th of Ramadan,Heliopolis,Sharqia,Cairo,2024-06-03 17:33:00,Monday,17,9.76,4.96,3.322235194426824,16.48,Uber Scooter,Cash,3.5
Mohandessin,Heliopolis,Giza,Cairo,2024-06-04 18:23:00,Tuesday,18,57.45,27.35,3.5352204846502824,96.69,UberX,Credit Card,4.7
Faisal,New Cairo,Giza,Cairo,2024-06-09 05:56:00,Sunday,5,12.59,4.25,4.582725796851534,19.48,Uber Comfort,Wallet,4.7
Rehab,Zamalek,Cairo,Cairo,2024-06-06 22:22:00,Thursday,22,25.96,16.45,3.507716658523265,57.7,Uber Bus,Credit Card,3.7
Zamalek,Shorouk,Cairo,Cairo,2024-06-27 01:33:00,Thursday,1,66.53,27.57,4.261220546359906,117.48,Uber Scooter,Credit Card,4.4
10th of Ramadan,Mohandessin,Sharqia,Giza,2024-06-25 00:35:00,Tuesday,0,27.79,16.68,5.481824224664638,91.44,UberX,Cash,3.6
Shubra,10th of Ramadan,Cairo,Sharqia,2024-06-27 04:58:00,Thursday,4,40.66,27.2,4.903997091615047,133.39,Uber Comfort,Wallet,4.5
Dokki,Shubra,Giza,Cairo,2024-06-23 12:16:00,Sunday,12,44.92,29.76,4.63326639974421,137.89,Uber Scooter,Wallet,4.9
Nasr City,Obour,Cairo,Qalyubia,2024-06-22 19:52:00,Saturday,19,6.83,3.5,4.3897360919976816,15.36,Uber Bus,Wallet,4.9
Haram,Dokki,Giza,Giza,2024-06-05 20:13:00,Wednesday,20,23.93,16.99,4.0823001094855655,69.36,Uber Scooter,Credit Card,4.2
Faisal,Sheikh Zayed,Giza,Giza,2024-06-11 11:15:00,Tuesday,11,18.79,10.95,3.73593835216856,40.91,UberX,Credit Card,3.8
Shubra,Nasr City,Cairo,Cairo,2024-06-04 19:59:00,Tuesday,19,2.95,2.09,5.419118461599582,11.33,Uber Bus,Cash,4.7
Heliopolis,Ain Shams,Cairo,Cairo,2024-06-26 07:30:00,Wednesday,7,34.46,17.13,5.377146680288048,92.11,UberX,Credit Card,5.0
Zamalek,Shorouk,Cairo,Cairo,2024-06-10 09:31:00,Monday,9,18.86,7.25,4.4804174820655405,32.48,Uber Scooter,Credit Card,3.9
Obour,Nasr City,Qalyubia,Cairo,2024-06-18 07:40:00,Tuesday,7,64.71,26.87,4.151468442159311,111.55,UberX,Credit Card,3.6
Nasr City,Zamalek,Cairo,Cairo,2024-06-19 10:48:00,Wednesday,10,55.0,22.93,3.76341845874946,86.3,UberX,Wallet,4.5
Zamalek,Sheikh Zayed,Cairo,Giza,2024-06-18 20:10:00,Tuesday,20,46.06,25.21,4.040596159746437,101.86,Uber Comfort,Cash,3.5
6th October,Heliopolis,Giza,Cairo,2024-06-03 04:30:00,Monday,4,55.68,24.98,3.2107944476136043,80.21,UberX,Credit Card,4.5
Haram,Sheikh Zayed,Giza,Giza,2024-06-08 06:00:00,Saturday,6,27.08,12.32,3.2750010079637524,40.35,UberX,Wallet,4.7
Ain Shams,10th of Ramadan,Cairo,Sharqia,2024-06-02 03:54:00,Sunday,3,37.33,26.75,5.475025235815671,146.46,UberX,Wallet,4.9
Haram,Ain Shams,Giza,Cairo,2024-06-26 10:34:00,Wednesday,10,40.58,25.54,3.7546691882389367,95.89,UberX,Cash,4.3
Faisal,10th of Ramadan,Giza,Sharqia,2024-06-19 15:40:00,Wednesday,15,7.79,3.84,4.983153876952212,19.14,Uber Bus,Cash,4.3
Downtown,New Cairo,Cairo,Cairo,2024-06-03 21:44:00,Monday,21,37.94,14.52,4.765558747466479,69.2,UberX,Wallet,4.7
New Cairo,Heliopolis,Cairo,Cairo,2024-06-12 10:07:00,Wednesday,10,40.6,28.66,4.325390035158212,123.97,Uber Scooter,Cash,4.2
Fifth Settlement,Haram,Cairo,Giza,2024-06-10 15:17:00,Monday,15,23.96,11.28,3.866358838059557,43.61,Uber Comfort,Wallet,4.4
Shorouk,New Cairo,Cairo,Cairo,2024-06-26 08:10:00,Wednesday,8,7.34,3.46,3.690291703878465,12.77,UberX,Credit Card,5.0
Zamalek,Nasr City,Cairo,Cairo,2024-06-24 02:45:00,Monday,2,44.1,22.77,5.089639372242486,115.89,UberX,Cash,3.8
Shorouk,Obour,Cairo,Qalyubia,2024-06-15 09:31:00,Saturday,9,8.98,6.42,4.213611929410094,27.05,UberX,Wallet,4.9
Shorouk,Nasr City,Cairo,Cairo,2024-06-02 02:58:00,Sunday,2,32.4,12.29,3.553723800594483,43.68,UberX,Cash,3.8
Maadi,Shorouk,Cairo,Cairo,2024-06-04 11:47:00,Tuesday,11,48.43,26.76,3.026252471189504,80.98,Uber Comfort,Credit Card,3.7
Rehab,Zamalek,Cairo,Cairo,2024-06-25 02:03:00,Tuesday,2,22.7,14.73,5.315168326624844,78.29,Uber Comfort,Cash,4.3
10th of Ramadan,Downtown,Sharqia,Cairo,2024-06-15 21:56:00,Saturday,21,5.11,2.71,5.016932132491854,13.6,Uber Comfort,Wallet,4.2
Sheikh Zayed,New Cairo,Giza,Cairo,2024-06-05 04:23:00,Wednesday,4,37.08,18.12,3.330347411682637,60.35,UberX,Credit Card,5.0
Rehab,Zamalek,Cairo,Cairo,2024-06-26 12:08:00,Wednesday,12,13.26,9.15,3.0692741260594825,28.08,Uber Scooter,Credit Card,4.8
Zamalek,Shorouk,Cairo,Cairo,2024-06-27 08:30:00,Thursday,8,28.19,15.17,4.047919350560434,61.41,Uber Comfort,Credit Card,4.1
Fifth Settlement,Obour,Cairo,Qalyubia,2024-06-03 07:34:00,Monday,7,33.17,23.68,4.944714200867427,117.09,UberX,Cash,4.2
Shorouk,Dokki,Cairo,Giza,2024-06-23 22:18:00,Sunday,22,37.7,15.0,4.248899658678999,63.73,Uber Bus,Cash,4.6
10th of Ramadan,6th October,Sharqia,Giza,2024-06-22 01:10:00,Saturday,1,3.84,2.41,4.670858302502907,11.26,Uber Scooter,Wallet,4.4
New Cairo,Faisal,Cairo,Giza,2024-06-29 18:27:00,Saturday,18,79.95,28.72,3.601798481091197,103.44,Uber Scooter,Credit Card,4.5
Rehab,Downtown,Cairo,Cairo,2024-06-24 15:40:00,Monday,15,13.18,8.96,5.183121560097985,46.44,UberX,Wallet,4.7
Fifth Settlement,Heliopolis,Cairo,Cairo,2024-06-28 23:21:00,Friday,23,48.55,23.15,3.949305474976107,91.43,Uber Comfort,Wallet,4.7
Obour,Faisal,Qalyubia,Giza,2024-06-29 07:31:00,Saturday,7,8.8,4.61,4.83702310461241,22.3,UberX,Credit Card,3.8
Nasr City,Downtown,Cairo,Cairo,2024-06-05 06:48:00,Wednesday,6,34.38,25.63,5.240641102483212,134.32,Uber Comfort,Cash,3.6
Sheikh Zayed,Nasr City,Giza,Cairo,2024-06-15 23:54:00,Saturday,23,83.18,27.86,3.5750005750939664,99.6,UberX,Credit Card,3.8
Downtown,Shubra,Cairo,Cairo,2024-06-20 11:12:00,Thursday,11,38.8,25.67,5.135105816929189,131.82,Uber Comfort,Wallet,3.6
Faisal,Fifth Settlement,Giza,Cairo,2024-06-08 09:32:00,Saturday,9,48.95,22.46,3.285447379631652,73.79,Uber Bus,Cash,5.0
Zamalek,Shorouk,Cairo,Cairo,2024-06-29 07:33:00,Saturday,7,52.55,24.09,4.9154863506183855,118.41,Uber Scooter,Credit Card,4.2
Dokki,Ain Shams,Giza,Cairo,2024-06-02 19:14:00,Sunday,19,33.45,16.4,4.63055072481123,75.94,Uber Comfort,Credit Card,3.8
Maadi,Heliopolis,Cairo,Cairo,2024-06-24 18:58:00,Monday,18,36.24,13.69,4.372188742641591,59.86,UberX,Wallet,4.4
Dokki,Maadi,Giza,Cairo,2024-06-10 02:45:00,Monday,2,31.34,18.17,4.06818815633082,73.92,Uber Scooter,Credit Card,4.5
Shubra,Nasr City,Cairo,Cairo,2024-06-17 17:31:00,Monday,17,7.84,5.79,4.601023339469548,26.64,Uber Bus,Wallet,4.5
Downtown,Heliopolis,Cairo,Cairo,2024-06-12 09:58:00,Wednesday,9,61.26,22.34,4.588934730564821,102.52,UberX,Wallet,4.4
Mohandessin,Faisal,Giza,Giza,2024-06-05 13:17:00,Wednesday,13,15.35,7.98,3.137899191538165,25.04,UberX,Cash,3.9
Sheikh Zayed,Shubra,Giza,Cairo,2024-06-03 09:23:00,Monday,9,55.9,20.48,3.15930846570892,64.7,Uber Comfort,Cash,4.5
Rehab,Nasr City,Cairo,Cairo,2024-06-28 05:36:00,Friday,5,55.78,19.99,3.8010246797104337,75.98,UberX,Wallet,4.4
Ain Shams,Sheikh Zayed,Cairo,Giza,2024-06-27 21:31:00,Thursday,21,7.95,4.86,3.9014316947162655,18.96,UberX,Cash,4.9
Faisal,Obour,Giza,Qalyubia,2024-06-17 17:19:00,Monday,17,32.74,15.63,4.172372778472878,65.21,UberX,Wallet,3.7
Nasr City,Shorouk,Cairo,Cairo,2024-06-30 11:43:00,Sunday,11,73.88,28.36,4.807393413314892,136.34,Uber Comfort,Credit Card,4.9
Mohandessin,Zamalek,Giza,Cairo,2024-06-07 02:41:00,Friday,2,75.13,29.1,4.728528818180311,137.6,UberX,Wallet,5.0
Dokki,Faisal,Giza,Giza,2024-06-01 22:14:00,Saturday,22,11.63,7.76,3.265058333718685,25.34,Uber Scooter,Cash,4.2
Downtown,Sheikh Zayed,Cairo,Giza,2024-06-05 21:25:00,Wednesday,21,38.35,21.9,3.148694095564214,68.96,UberX,Wallet,4.9
Sheikh Zayed,Obour,Giza,Qalyubia,2024-06-16 03:03:00,Sunday,3,59.07,21.71,4.374478238780293,94.97,Uber Bus,Cash,4.0
Heliopolis,New Cairo,Cairo,Cairo,2024-06-11 01:47:00,Tuesday,1,67.85,25.93,3.944688679384697,102.29,UberX,Credit Card,4.2
Shorouk,Faisal,Cairo,Giza,2024-06-07 00:54:00,Friday,0,5.78,3.14,5.436147547420078,17.07,Uber Comfort,Cash,4.3
Maadi,Zamalek,Cairo,Cairo,2024-06-26 22:14:00,Wednesday,22,46.26,16.64,5.175115028965006,86.11,Uber Comfort,Credit Card,4.9
Shorouk,New Cairo,Cairo,Cairo,2024-06-21 04:22:00,Friday,4,28.89,16.81,3.091531914705845,51.97,Uber Scooter,Cash,4.8
Ain Shams,Zamalek,Cairo,Cairo,2024-06-01 22:01:00,Saturday,22,41.77,25.27,4.269234553342996,107.88,Uber Comfort,Credit Card,3.9
Fifth Settlement,Maadi,Cairo,Cairo,2024-06-13 12:45:00,Thursday,12,19.17,7.11,3.7173954730508414,26.43,Uber Bus,Cash,4.6
Zamalek,Maadi,Cairo,Cairo,2024-06-08 12:01:00,Saturday,12,21.74,8.27,4.775440757099462,39.49,Uber Bus,Wallet,3.9
Heliopolis,Shubra,Cairo,Cairo,2024-06-25 16:27:00,Tuesday,16,25.97,14.23,5.4966592552337,78.22,Uber Scooter,Wallet,3.9
Nasr City,Heliopolis,Cairo,Cairo,2024-06-14 16:46:00,Friday,16,31.09,14.98,3.288757389960251,49.27,Uber Scooter,Cash,4.6
Downtown,Shorouk,Cairo,Cairo,2024-06-14 15:40:00,Friday,15,18.25,10.75,4.764693883342783,51.22,Uber Scooter,Credit Card,3.6
Faisal,Mohandessin,Giza,Giza,2024-06-09 22:43:00,Sunday,22,43.48,24.57,4.528757940438113,111.27,Uber Bus,Credit Card,4.0
Downtown,New Cairo,Cairo,Cairo,2024-06-03 07:29:00,Monday,7,13.84,7.18,4.099315957112373,29.43,Uber Bus,Wallet,4.1
Obour,Fifth Settlement,Qalyubia,Cairo,2024-06-09 00:42:00,Sunday,0,24.85,17.94,4.118309077303632,73.88,Uber Comfort,Cash,4.1
6th October,Faisal,Giza,Giza,2024-06-16 11:36:00,Sunday,11,31.82,19.38,4.793448259014529,92.9,UberX,Wallet,4.6
Zamalek,Heliopolis,Cairo,Cairo,2024-06-14 19:20:00,Friday,19,83.44,29.17,3.8684902976082407,112.84,Uber Comfort,Credit Card,4.5
Fifth Settlement,Heliopolis,Cairo,Cairo,2024-06-30 15:40:00,Sunday,15,16.76,10.02,4.77177660790082,47.81,Uber Scooter,Wallet,4.2
10th of Ramadan,Fifth Settlement,Sharqia,Cairo,2024-06-22 22:34:00,Saturday,22,34.78,14.69,3.9690675478473354,58.31,Uber Scooter,Cash,4.5
Downtown,Heliopolis,Cairo,Cairo,2024-06-21 08:18:00,Friday,8,9.65,3.71,3.689368228472083,13.69,Uber Scooter,Wallet,4.9
Faisal,Nasr City,Giza,Cairo,2024-06-16 17:03:00,Sunday,17,9.66,5.0,3.537458124363971,17.69,Uber Comfort,Wallet,4.1
Faisal,Sheikh Zayed,Giza,Giza,2024-06-09 00:07:00,Sunday,0,37.31,19.16,4.112882331672926,78.8,UberX,Cash,3.9
Ain Shams,Zamalek,Cairo,Cairo,2024-06-30 09:16:00,Sunday,9,4.84,3.51,3.514367858760501,12.34,Uber Comfort,Credit Card,4.7
Dokki,Heliopolis,Giza,Cairo,2024-06-07 14:06:00,Friday,14,37.55,26.82,3.501315119918809,93.91,Uber Scooter,Cash,3.5
Downtown,Mohandessin,Cairo,Giza,2024-06-23 20:08:00,Sunday,20,61.68,24.31,3.7179560453289366,90.38,Uber Comfort,Cash,3.7
Downtown,Nasr City,Cairo,Cairo,2024-06-23 18:20:00,Sunday,18,57.35,28.78,3.380024503073791,97.28,UberX,Credit Card,4.4
Obour,Heliopolis,Qalyubia,Cairo,2024-06-04 05:13:00,Tuesday,5,21.26,15.79,4.902254131348572,77.41,UberX,Credit Card,4.7
New Cairo,6th October,Cairo,Giza,2024-06-29 22:26:00,Saturday,22,46.43,18.43,3.9581989015902015,72.95,Uber Bus,Cash,4.5
Shubra,Downtown,Cairo,Cairo,2024-06-24 04:22:00,Monday,4,34.83,13.61,3.3618081071353,45.75,Uber Scooter,Cash,4.8
Zamalek,6th October,Cairo,Giza,2024-06-04 05:32:00,Tuesday,5,29.68,21.36,3.7678615042524735,80.48,Uber Bus,Wallet,4.3
Maadi,Sheikh Zayed,Cairo,Giza,2024-06-18 07:10:00,Tuesday,7,37.21,26.59,3.833375570474752,101.93,UberX,Credit Card,4.2
Mohandessin,Shorouk,Giza,Cairo,2024-06-27 22:33:00,Thursday,22,9.81,7.21,4.925105887795569,35.51,UberX,Wallet,3.9
Heliopolis,Mohandessin,Cairo,Giza,2024-06-02 03:47:00,Sunday,3,47.49,16.09,3.0078967704221906,48.4,Uber Bus,Credit Card,4.4
6th October,10th of Ramadan,Giza,Sharqia,2024-06-28 20:48:00,Friday,20,13.98,7.14,3.1189372887275644,22.27,Uber Bus,Cash,4.5
Ain Shams,Downtown,Cairo,Cairo,2024-06-11 02:04:00,Tuesday,2,33.46,14.01,3.7155437847946,52.05,UberX,Wallet,3.8
Ain Shams,Sheikh Zayed,Cairo,Giza,2024-06-09 23:49:00,Sunday,23,35.55,21.43,3.863303397692253,82.79,Uber Comfort,Wallet,3.7
New Cairo,Fifth Settlement,Cairo,Cairo,2024-06-09 10:24:00,Sunday,10,70.22,27.0,4.4037293358253535,118.9,Uber Bus,Credit Card,4.8
Heliopolis,Obour,Cairo,Qalyubia,2024-06-27 00:26:00,Thursday,0,8.34,3.38,3.776974164352769,12.77,Uber Comfort,Cash,3.6
Fifth Settlement,Shorouk,Cairo,Cairo,2024-06-18 04:13:00,Tuesday,4,3.83,2.85,4.577431346457195,13.05,Uber Bus,Cash,4.2
Heliopolis,Zamalek,Cairo,Cairo,2024-06-12 08:49:00,Wednesday,8,6.28,3.6,4.987010248618124,17.95,UberX,Cash,3.7
Shubra,Shorouk,Cairo,Cairo,2024-06-13 07:12:00,Thursday,7,17.36,10.05,3.6847473781958895,37.03,Uber Comfort,Cash,4.8
6th October,Fifth Settlement,Giza,Cairo,2024-06-01 13:29:00,Saturday,13,56.08,24.58,5.437850030321149,133.66,Uber Scooter,Wallet,3.8
Haram,Obour,Giza,Qalyubia,2024-06-26 06:43:00,Wednesday,6,12.01,6.57,5.383430975293148,35.37,UberX,Wallet,4.7
Zamalek,Ain Shams,Cairo,Cairo,2024-06-03 16:06:00,Monday,16,19.78,12.76,3.638507797188614,46.43,Uber Bus,Credit Card,4.5
Shorouk,Heliopolis,Cairo,Cairo,2024-06-12 22:03:00,Wednesday,22,37.74,19.31,5.3584732264537696,103.47,Uber Scooter,Credit Card,3.6
Mohandessin,Downtown,Giza,Cairo,2024-06-07 06:43:00,Friday,6,27.05,17.11,5.491260893572925,93.96,Uber Scooter,Wallet,4.8
Faisal,Shorouk,Giza,Cairo,2024-06-25 17:35:00,Tuesday,17,14.77,9.89,5.490684225300316,54.3,UberX,Wallet,4.4
Nasr City,Maadi,Cairo,Cairo,2024-06-18 09:12:00,Tuesday,9,46.84,16.21,3.4045146635825247,55.19,UberX,Wallet,4.0
Downtown,Fifth Settlement,Cairo,Cairo,2024-06-22 23:41:00,Saturday,23,34.12,13.45,5.030957836084703,67.67,UberX,Wallet,4.2
Sheikh Zayed,Shorouk,Giza,Cairo,2024-06-09 16:19:00,Sunday,16,41.3,26.68,3.1823488092856755,84.91,UberX,Cash,4.0
Fifth Settlement,Zamalek,Cairo,Cairo,2024-06-15 22:27:00,Saturday,22,26.64,12.94,3.4174273174463794,44.22,Uber Scooter,Cash,3.6
Obour,Rehab,Qalyubia,Cairo,2024-06-14 08:09:00,Friday,8,37.48,19.44,3.23022175158864,62.8,Uber Scooter,Credit Card,4.6
New Cairo,Obour,Cairo,Qalyubia,2024-06-09 21:48:00,Sunday,21,38.45,24.19,3.008498595628284,72.78,UberX,Credit Card,4.2
Nasr City,Faisal,Cairo,Giza,2024-06-27 18:04:00,Thursday,18,30.16,10.57,4.698431762864232,49.66,Uber Bus,Cash,4.7
Haram,Nasr City,Giza,Cairo,2024-06-22 16:20:00,Saturday,16,9.96,3.96,4.095133666396662,16.22,UberX,Wallet,3.5
Rehab,Sheikh Zayed,Cairo,Giza,2024-06-09 21:59:00,Sunday,21,3.17,2.3,5.484348008812196,12.61,Uber Bus,Cash,3.8
Heliopolis,Nasr City,Cairo,Cairo,2024-06-01 14:00:00,Saturday,14,16.04,6.37,4.452315841171985,28.36,Uber Comfort,Wallet,3.9
Ain Shams,Nasr City,Cairo,Cairo,2024-06-28 14:15:00,Friday,14,49.12,20.64,3.091676505150749,63.81,Uber Bus,Credit Card,3.6
Downtown,Obour,Cairo,Qalyubia,2024-06-27 02:19:00,Thursday,2,23.68,8.24,3.860418285666162,31.81,Uber Comfort,Cash,3.9
Haram,Faisal,Giza,Giza,2024-06-13 21:47:00,Thursday,21,29.25,18.06,3.435122150523428,62.04,Uber Scooter,Cash,4.9
Fifth Settlement,Downtown,Cairo,Cairo,2024-06-04 01:57:00,Tuesday,1,51.76,17.86,3.355466653510517,59.93,Uber Scooter,Credit Card,4.5
Shorouk,Faisal,Cairo,Giza,2024-06-24 07:49:00,Monday,7,26.01,18.02,3.665869933307416,66.06,Uber Scooter,Wallet,4.7
10th of Ramadan,Downtown,Sharqia,Cairo,2024-06-25 14:47:00,Tuesday,14,17.84,6.75,3.5944133435586583,24.26,Uber Comfort,Credit Card,4.3
Sheikh Zayed,Shorouk,Giza,Cairo,2024-06-25 11:56:00,Tuesday,11,54.53,26.9,3.4944911076358496,94.0,Uber Comfort,Credit Card,4.1
Sheikh Zayed,Dokki,Giza,Giza,2024-06-26 18:38:00,Wednesday,18,15.23,7.26,4.881024042642926,35.44,Uber Comfort,Cash,4.9
Obour,10th of Ramadan,Qalyubia,Sharqia,2024-06-09 06:01:00,Sunday,6,70.31,27.83,5.194564797143288,144.56,Uber Scooter,Wallet,4.1
Shubra,Dokki,Cairo,Giza,2024-06-15 18:54:00,Saturday,18,63.19,21.42,4.505286475724253,96.5,Uber Comfort,Cash,4.6
New Cairo,Dokki,Cairo,Giza,2024-06-15 11:12:00,Saturday,11,11.14,3.95,4.455085741949327,17.6,Uber Comfort,Cash,3.7
Dokki,Obour,Giza,Qalyubia,2024-06-15 05:36:00,Saturday,5,13.92,9.41,3.008514710840671,28.31,Uber Comfort,Wallet,3.7
Zamalek,Shorouk,Cairo,Cairo,2024-06-09 07:37:00,Sunday,7,38.58,27.8,4.667155994829809,129.75,Uber Scooter,Credit Card,4.1
Maadi,Zamalek,Cairo,Cairo,2024-06-23 21:59:00,Sunday,21,26.16,12.45,3.8769200041115104,48.27,Uber Comfort,Cash,4.3
Faisal,Zamalek,Giza,Cairo,2024-06-15 06:15:00,Saturday,6,43.11,19.45,3.081364612735096,59.93,UberX,Credit Card,4.8
Ain Shams,Mohandessin,Cairo,Giza,2024-06-19 21:05:00,Wednesday,21,44.05,29.7,3.885864445565592,115.41,Uber Bus,Cash,4.8
Dokki,Heliopolis,Giza,Cairo,2024-06-21 08:50:00,Friday,8,56.66,28.68,3.359772226160133,96.36,Uber Bus,Credit Card,4.8
Downtown,Dokki,Cairo,Giza,2024-06-15 18:13:00,Saturday,18,42.92,15.6,4.076787110841408,63.6,Uber Comfort,Credit Card,4.2
New Cairo,Sheikh Zayed,Cairo,Giza,2024-06-20 16:28:00,Thursday,16,34.38,12.67,3.74507952371566,47.45,UberX,Cash,4.7
Maadi,Dokki,Cairo,Giza,2024-06-11 11:43:00,Tuesday,11,39.72,29.36,5.471147003379144,160.63,UberX,Cash,4.0
Zamalek,Sheikh Zayed,Cairo,Giza,2024-06-30 04:06:00,Sunday,4,7.86,5.16,5.497300933666411,28.37,Uber Bus,Wallet,5.0
Rehab,Heliopolis,Cairo,Cairo,2024-06-01 03:03:00,Saturday,3,19.87,13.28,3.1494883289566267,41.83,Uber Scooter,Wallet,3.7
Zamalek,Shorouk,Cairo,Cairo,2024-06-05 14:37:00,Wednesday,14,14.9,10.55,4.011637084051602,42.32,UberX,Wallet,4.0
10th of Ramadan,Shorouk,Sharqia,Cairo,2024-06-16 10:20:00,Sunday,10,15.14,8.35,4.786417977575664,39.97,Uber Comfort,Cash,3.6
Ain Shams,Obour,Cairo,Qalyubia,2024-06-27 23:57:00,Thursday,23,15.29,8.67,4.081876892217076,35.39,Uber Bus,Cash,3.8
Zamalek,Sheikh Zayed,Cairo,Giza,2024-06-15 02:28:00,Saturday,2,25.96,19.33,3.985537036563119,77.04,Uber Bus,Credit Card,4.1
Obour,Heliopolis,Qalyubia,Cairo,2024-06-19 09:21:00,Wednesday,9,12.36,8.86,4.815353666536181,42.66,Uber Bus,Wallet,4.6
Nasr City,Fifth Settlement,Cairo,Cairo,2024-06-13 15:03:00,Thursday,15,27.07,18.91,3.873574322896847,73.25,Uber Bus,Wallet,4.5
6th October,10th of Ramadan,Giza,Sharqia,2024-06-14 00:05:00,Friday,0,18.26,10.57,5.052686275829635,53.41,Uber Bus,Cash,4.9
Nasr City,Maadi,Cairo,Cairo,2024-06-19 04:49:00,Wednesday,4,45.2,24.42,3.1261222585258106,76.34,Uber Bus,Cash,4.3
Sheikh Zayed,Shorouk,Giza,Cairo,2024-06-07 19:57:00,Friday,19,26.9,10.06,5.233411934516749,52.65,Uber Comfort,Wallet,4.6
10th of Ramadan,New Cairo,Sharqia,Cairo,2024-06-17 17:54:00,Monday,17,23.56,15.07,4.44979102254199,67.06,UberX,Credit Card,3.5
Dokki,Fifth Settlement,Giza,Cairo,2024-06-21 23:47:00,Friday,23,67.14,28.81,3.3648326729892646,96.94,Uber Comfort,Credit Card,4.0
Heliopolis,Rehab,Cairo,Cairo,2024-06-23 19:08:00,Sunday,19,84.14,28.62,5.047874329302292,144.47,Uber Bus,Cash,3.6
Mohandessin,Haram,Giza,Giza,2024-06-23 07:47:00,Sunday,7,11.86,5.19,4.282761276369154,22.23,Uber Scooter,Credit Card,4.2
Heliopolis,Rehab,Cairo,Cairo,2024-06-06 15:25:00,Thursday,15,65.31,28.48,5.431402786243941,154.69,Uber Comfort,Wallet,4.2
Rehab,Ain Shams,Cairo,Cairo,2024-06-08 21:11:00,Saturday,21,33.76,17.02,3.803138654411483,64.73,Uber Bus,Cash,4.8
Shubra,Haram,Cairo,Giza,2024-06-10 03:29:00,Monday,3,43.16,20.85,3.834636208064642,79.95,Uber Comfort,Wallet,4.1
Mohandessin,6th October,Giza,Giza,2024-06-25 19:09:00,Tuesday,19,18.76,13.99,3.2282887208643207,45.16,Uber Bus,Cash,4.5
Obour,Sheikh Zayed,Qalyubia,Giza,2024-06-20 14:28:00,Thursday,14,19.7,12.4,4.107594643187009,50.93,UberX,Wallet,3.8
Shorouk,Haram,Cairo,Giza,2024-06-15 04:31:00,Saturday,4,27.99,12.21,3.01690996664061,36.84,Uber Scooter,Wallet,3.9
Dokki,Ain Shams,Giza,Cairo,2024-06-14 12:51:00,Friday,12,15.9,6.21,4.590193766824164,28.51,Uber Scooter,Wallet,4.8
6th October,Fifth Settlement,Giza,Cairo,2024-06-09 17:34:00,Sunday,17,8.93,4.85,3.3120374525388288,16.06,Uber Bus,Cash,4.7
Shubra,Rehab,Cairo,Cairo,2024-06-03 03:48:00,Monday,3,57.92,20.27,4.063308281105635,82.36,Uber Bus,Credit Card,4.7
6th October,Shorouk,Giza,Cairo,2024-06-30 12:06:00,Sunday,12,28.82,14.85,3.066197712760299,45.53,Uber Bus,Credit Card,3.7
New Cairo,Downtown,Cairo,Cairo,2024-06-22 00:10:00,Saturday,0,15.74,8.64,5.262033399760577,45.46,Uber Scooter,Cash,3.7
Mohandessin,Haram,Giza,Giza,2024-06-18 11:39:00,Tuesday,11,35.45,23.88,4.237716511320907,101.2,Uber Bus,Cash,3.5
Maadi,Downtown,Cairo,Cairo,2024-06-13 23:58:00,Thursday,23,37.37,23.24,3.453903062738085,80.27,UberX,Cash,4.1
Zamalek,Mohandessin,Cairo,Giza,2024-06-21 07:19:00,Friday,7,47.91,18.99,3.218235419998214,61.11,Uber Bus,Cash,3.8
Faisal,Shorouk,Giza,Cairo,2024-06-28 07:25:00,Friday,7,20.95,15.01,5.288463600465848,79.38,Uber Scooter,Credit Card,4.9
Haram,Nasr City,Giza,Cairo,2024-06-24 01:51:00,Monday,1,28.24,14.0,4.514182002758132,63.2,Uber Scooter,Cash,4.6
Nasr City,Faisal,Cairo,Giza,2024-06-13 08:07:00,Thursday,8,37.46,18.84,3.6596754913283367,68.95,Uber Comfort,Wallet,4.4
